iter	Passed	Remaining
435	1421	14878
436	1424	14871
437	1427	14865
438	1430	14858
439	1432	14850
440	1435	14841
441	1438	14834
442	1441	14828
443	1444	14820
444	1447	14813
445	1450	14806
446	1452	14799
447	1456	14794
448	1458	14787
449	1461	14780
450	1464	14773
451	1467	14766
452	1470	14760
453	1473	14753
454	1476	14747
455	1479	14740
456	1481	14732
457	1484	14725
458	1487	14719
459	1490	14711
460	1493	14703
461	1496	14695
462	1498	14687
463	1501	14681
464	1504	14674
465	1510	14696
466	1513	14694
467	1516	14689
468	1520	14686
469	1523	14681
470	1526	14676
471	1529	14669
472	1532	14664
473	1535	14662
474	1538	14656
475	1541	14648
476	1543	14640
477	1548	14644
478	1551	14641
479	1554	14635
480	1557	14629
481	1559	14622
482	1562	14615
483	1565	14608
484	1568	14601
485	1571	14593
486	1574	14593
487	1577	14588
488	1581	14587
489	1584	14582
490	1587	14576
491	1590	14572
492	1594	14580
493	1597	14575
494	1601	14579
495	1604	14574
496	1608	14569
497	1610	14563
498	1615	14567
499	1617	14561
500	1620	14553
501	1623	14547
502	1626	14540
503	1629	14533
504	1632	14527
505	1634	14520
506	1637	14515
507	1640	14507
508	1643	14499
509	1646	14493
510	1649	14486
511	1651	14479
512	1655	14476
513	1657	14468
514	1661	14467
515	1664	14461
516	1666	14454
517	1670	14450
518	1672	14443
519	1675	14435
520	1678	14428
521	1681	14422
522	1683	14414
523	1686	14408
524	1689	14402
525	1692	14395
526	1695	14389
527	1698	14383
528	1701	14377
529	1704	14371
530	1706	14365
531	1709	14358
532	1712	14351
533	1715	14345
534	1718	14341
535	1721	14333
536	1723	14326
537	1726	14319
538	1729	14312
539	1732	14307
540	1734	14299
541	1737	14292
542	1740	14285
543	1743	14278
544	1745	14271
545	1749	14268
546	1752	14263
547	1756	14267
548	1759	14267
549	1763	14265
550	1766	14260
551	1769	14254
552	1771	14249
553	1774	14244
554	1777	14238
555	1780	14233
556	1783	14229
557	1786	14224
558	1789	14218
559	1792	14214
560	1795	14207
561	1798	14201
562	1801	14196
563	1804	14189
564	1807	14184
565	1809	14179
566	1812	14173
567	1815	14167
568	1820	14175
569	1824	14176
570	1827	14172
571	1830	14170
572	1833	14163
