iter	MAE
350	51.76100848
351	51.67594612
352	51.52552421
353	51.45274629
354	51.34656504
355	51.21657214
356	51.15441105
357	51.08784511
358	50.96483
359	50.91194596
360	50.87353818
361	50.78970977
362	50.64804644
363	50.5638731
364	50.5006869
365	50.40389879
366	50.38868539
367	50.28255003
368	50.22233733
369	50.12512392
370	50.05445475
371	50.01152844
372	49.95079154
373	49.81127191
374	49.63469719
375	49.52986413
376	49.39119497
377	49.29123483
378	49.14482155
379	49.03745749
380	48.9854293
381	48.95709881
382	48.91048734
383	48.85793039
384	48.82693179
385	48.78299231
386	48.74662799
387	48.63834996
388	48.60483069
389	48.52328517
390	48.44997199
391	48.39279204
392	48.31175413
393	48.17415782
394	48.13812542
395	48.09873139
396	48.03483685
397	47.98967923
398	47.92828715
399	47.84297389
400	47.70803215
401	47.61403342
402	47.54007953
403	47.45489209
404	47.32019802
405	47.23179479
406	47.11599678
407	47.03166189
408	46.96123249
409	46.86818781
410	46.8365737
411	46.68494605
412	46.54734928
413	46.4969731
414	46.38367048
415	46.29046319
416	46.19645273
417	46.12651503
418	46.07030366
419	46.00006232
420	45.86070787
421	45.6815487
422	45.60560473
423	45.53118929
424	45.48686827
425	45.36933466
426	45.26431918
427	45.23651488
428	45.12103113
429	45.06453966
430	45.01221419
431	44.95872415
432	44.93094862
433	44.89105537
434	44.78631279
435	44.6212877
436	44.53480746
437	44.47643775
438	44.38910123
439	44.24937837
440	44.19332209
441	44.11132041
442	44.07950032
443	44.00719849
444	43.89938936
445	43.86336312
446	43.77504984
447	43.73303975
448	43.65980287
449	43.5805555
450	43.50940677
451	43.4619783
452	43.38390743
453	43.30374176
454	43.17113117
455	43.07773993
456	43.0198157
457	42.93295632
458	42.89960737
459	42.83538609
460	42.79435537
461	42.71589819
462	42.60342953
463	42.56425174
464	42.44198368
465	42.35254575
466	42.26324244
467	42.21738268
468	42.16296879
469	42.12916576
470	42.06449178
471	41.99109109
472	41.93550259
473	41.89445842
474	41.82835677
475	41.79039096
476	41.64013471
477	41.6014019
478	41.57101246
479	41.50514928
480	41.39297287
481	41.29835585
482	41.23593256
483	41.17928661
484	41.11421058
485	41.06969362
486	41.03601149
487	40.99615188
488	40.94408526
489	40.8990831
490	40.88725318
491	40.84941911
492	40.78971801
493	40.74655957
494	40.6825564
495	40.64847371
496	40.62333861
497	40.59318267
498	40.57672917
499	40.51666218
500	40.44994054
501	40.39908404
502	40.34789248
503	40.31820019
504	40.26153146
505	40.22237543
506	40.20467436
507	40.15596123
508	40.14567583
509	40.10522716
510	40.03048872
511	39.96561026
512	39.93918481
513	39.86531983
514	39.83412477
515	39.74420724
516	39.70911292
517	39.64090022
518	39.58006208
519	39.48761588
520	39.45723436
521	39.41532502
522	39.37594672
523	39.31202319
524	39.27562431
525	39.24435095
526	39.20143503
527	39.10613288
528	39.04949607
529	38.95296239
530	38.89203349
531	38.82028017
532	38.76217651
533	38.63886788
534	38.58769066
535	38.44602861
536	38.3962789
537	38.34605865
538	38.3101058
539	38.23876176
540	38.21245154
541	38.14274312
542	38.11516543
543	38.10717516
544	38.02859465
545	37.91619973
546	37.8918974
547	37.88470614
548	37.79046576
549	37.70609151
550	37.69328369
551	37.60543569
552	37.54481096
553	37.51854038
554	37.42081111
555	37.32325355
556	37.24862159
557	37.13930251
558	37.12435172
559	37.11671515
560	37.07563279
561	37.01388773
562	36.97101398
563	36.92464069
564	36.85269578
565	36.79994258
566	36.74645801
567	36.70067286
568	36.6597663
569	36.61199308
570	36.55974677
571	36.49787736
572	36.48446891
